"Citation","Diet.richness.minimum","Ecosystem","EndoEcto","Feeding.data.type","First.entry.Name","Latitude","mass_g","Month","Space.averaging","Taxon.group","Time.averaging","Total.stomachs.count.given","Year"
"Heithaus_2001",12,"Marine","Ectotherm","Gut content (non-lethal)","Beatriz",-25.75,1583273.26945176,NA,"1000m","Fish","Years",15,1998
"Drygala_2013",22,"Terrestrial","Endotherm","Gut content (lethal)","Ben",53.71,1500,NA,"100km","Mammals","Years",253,2006
"Drygala_2013",21,"Terrestrial","Endotherm","Gut content (lethal)","Ben",53.71,1321.08725847032,NA,"100km","Mammals","Years",256,2006
"Hebe_2025",10,"Marine","Endotherm","Gut content (lethal)","Ben",54.62,52000,NA,"100km","Mammals","Decades",48,2013
"Lisboa_2012",17,"Terrestrial","Ectotherm","Gut content (lethal)","Ben",-5.83,0.347718172053913,NA,"1000m","Reptiles","Months",49,2007
"Ngo_2014",21,"Terrestrial","Ectotherm","Gut content (lethal)","Ben",12.87,63.803929605134,NA,"10km","Reptiles","Months",157,2013
"Pomerleau_2011",13,"Marine","Endotherm","Gut content (lethal)","Ben",65.74,87500000,NA,"1000km","Mammals","Decades",4,2008
"Wang_2023",57,"Lotic","Ectotherm","Gut content (lethal)","Ben",47.31,702.8,NA,"100km","Fish","Years",574,2017
"Angelici_2005",17,"Terrestrial","Endotherm","Gut content (lethal)","Brian",5.2,1682.62984582171,NA,"1000km","Mammals","Years",11,2000
"Angelici_2014",29,"Terrestrial","Endotherm","Gut content (lethal)","Brian",4.9,2500,NA,"1000km","Mammals","Years",18,2005
"Condit_1984",20,"Marine","Endotherm","Gut content (lethal)","Brian",38.03,716666.67,NA,"1000km","Mammals","Decades",22,1968
"Killengreen_2011",6,"Terrestrial","Endotherm","Gut content (lethal)","Brian",70.5,1321.08725847032,NA,"10km","Mammals","Years",61,2006
"Killengreen_2011",6,"Terrestrial","Endotherm","Gut content (lethal)","Brian",70.5,1321.08725847032,NA,"10km","Mammals","Years",62,2006
